"Seed","Attack1_单点杠杆","Attack2_Loss溯源","Attack3_团伙杠杆","Error"
651282,FALSE,FALSE,TRUE,NA
828301,FALSE,FALSE,FALSE,NA
49743,FALSE,TRUE,TRUE,NA
184367,FALSE,TRUE,FALSE,NA
575527,FALSE,FALSE,TRUE,NA
720440,FALSE,FALSE,TRUE,NA
666684,FALSE,TRUE,FALSE,NA
363538,TRUE,FALSE,FALSE,NA
60219,FALSE,FALSE,FALSE,NA
755137,FALSE,TRUE,FALSE,NA
844728,TRUE,TRUE,FALSE,NA
461990,TRUE,FALSE,FALSE,NA
768123,FALSE,FALSE,TRUE,NA
74993,FALSE,FALSE,FALSE,NA
320175,FALSE,FALSE,FALSE,NA
49320,FALSE,FALSE,TRUE,NA
803176,FALSE,FALSE,FALSE,NA
663610,FALSE,FALSE,FALSE,NA
878391,FALSE,TRUE,FALSE,NA
626192,TRUE,TRUE,FALSE,NA
806449,FALSE,TRUE,FALSE,NA
584619,FALSE,FALSE,TRUE,NA
22571,FALSE,FALSE,FALSE,NA
132176,FALSE,FALSE,FALSE,NA
987147,FALSE,FALSE,TRUE,NA
698949,TRUE,FALSE,TRUE,NA
490611,FALSE,TRUE,FALSE,NA
438599,FALSE,FALSE,FALSE,NA
634523,FALSE,TRUE,FALSE,NA
942515,TRUE,TRUE,FALSE,NA
658673,FALSE,FALSE,TRUE,NA
666222,TRUE,TRUE,FALSE,NA
61751,FALSE,FALSE,FALSE,NA
971122,FALSE,FALSE,FALSE,NA
501141,FALSE,TRUE,FALSE,NA
583064,FALSE,FALSE,FALSE,NA
116549,FALSE,TRUE,TRUE,NA
370781,FALSE,FALSE,FALSE,NA
294868,FALSE,FALSE,FALSE,NA
579666,FALSE,TRUE,FALSE,NA
508533,FALSE,TRUE,FALSE,NA
573940,FALSE,TRUE,FALSE,NA
130011,FALSE,FALSE,FALSE,NA
853141,FALSE,FALSE,FALSE,NA
37525,FALSE,FALSE,FALSE,NA
625448,TRUE,TRUE,FALSE,NA
723047,FALSE,FALSE,FALSE,NA
272462,FALSE,FALSE,FALSE,NA
104488,FALSE,FALSE,FALSE,NA
617395,FALSE,TRUE,FALSE,NA
305083,FALSE,FALSE,TRUE,NA
450677,FALSE,FALSE,FALSE,NA
60378,TRUE,TRUE,FALSE,NA
731621,FALSE,FALSE,TRUE,NA
128101,FALSE,TRUE,FALSE,NA
397065,FALSE,FALSE,TRUE,NA
689273,FALSE,FALSE,FALSE,NA
406152,FALSE,FALSE,FALSE,NA
622538,FALSE,TRUE,TRUE,NA
5874,FALSE,FALSE,FALSE,NA
739959,FALSE,TRUE,TRUE,NA
796209,FALSE,TRUE,FALSE,NA
16756,FALSE,FALSE,FALSE,NA
615426,FALSE,FALSE,FALSE,NA
808671,FALSE,FALSE,TRUE,NA
267207,FALSE,FALSE,TRUE,NA
991480,FALSE,FALSE,FALSE,NA
673465,FALSE,TRUE,TRUE,NA
257420,FALSE,TRUE,FALSE,NA
490786,FALSE,FALSE,FALSE,NA
920162,FALSE,TRUE,TRUE,NA
743445,FALSE,FALSE,TRUE,NA
539421,FALSE,FALSE,TRUE,NA
474340,FALSE,FALSE,TRUE,NA
147046,TRUE,FALSE,FALSE,NA
305114,FALSE,FALSE,FALSE,NA
91955,FALSE,FALSE,FALSE,NA
175103,FALSE,FALSE,FALSE,NA
12748,FALSE,FALSE,FALSE,NA
238134,FALSE,FALSE,FALSE,NA
379600,TRUE,FALSE,FALSE,NA
980609,FALSE,FALSE,FALSE,NA
640890,FALSE,TRUE,FALSE,NA
672972,TRUE,TRUE,FALSE,NA
42886,FALSE,FALSE,TRUE,NA
399116,FALSE,FALSE,TRUE,NA
394122,TRUE,FALSE,FALSE,NA
271050,TRUE,FALSE,FALSE,NA
322731,FALSE,FALSE,TRUE,NA
542828,FALSE,FALSE,FALSE,NA
204971,FALSE,FALSE,TRUE,NA
653636,FALSE,FALSE,FALSE,NA
717671,FALSE,FALSE,FALSE,NA
765303,FALSE,FALSE,FALSE,NA
805501,FALSE,TRUE,FALSE,NA
793898,FALSE,TRUE,FALSE,NA
549140,FALSE,FALSE,TRUE,NA
314843,FALSE,FALSE,TRUE,NA
973321,FALSE,TRUE,TRUE,NA
256110,FALSE,FALSE,FALSE,NA
