"Seed","Attack1_单点杠杆","Attack2_Loss溯源","Attack3_团伙杠杆","Error"
651282,FALSE,TRUE,FALSE,NA
828301,FALSE,TRUE,FALSE,NA
49743,TRUE,FALSE,FALSE,NA
184367,FALSE,FALSE,FALSE,NA
575527,FALSE,TRUE,FALSE,NA
720440,FALSE,FALSE,FALSE,NA
666684,FALSE,TRUE,FALSE,NA
363538,FALSE,TRUE,FALSE,NA
60219,FALSE,TRUE,FALSE,NA
755137,FALSE,TRUE,FALSE,NA
844728,FALSE,TRUE,FALSE,NA
461990,TRUE,FALSE,FALSE,NA
768123,FALSE,FALSE,FALSE,NA
74993,FALSE,TRUE,FALSE,NA
320175,FALSE,TRUE,FALSE,NA
49320,FALSE,TRUE,FALSE,NA
803176,FALSE,FALSE,FALSE,NA
663610,FALSE,TRUE,FALSE,NA
878391,FALSE,TRUE,FALSE,NA
626192,FALSE,TRUE,FALSE,NA
806449,FALSE,FALSE,FALSE,NA
584619,FALSE,FALSE,TRUE,NA
22571,FALSE,FALSE,FALSE,NA
132176,FALSE,TRUE,FALSE,NA
987147,FALSE,FALSE,FALSE,NA
698949,FALSE,TRUE,FALSE,NA
490611,TRUE,TRUE,FALSE,NA
438599,FALSE,TRUE,FALSE,NA
634523,FALSE,FALSE,FALSE,NA
942515,FALSE,TRUE,FALSE,NA
658673,FALSE,TRUE,FALSE,NA
666222,TRUE,TRUE,FALSE,NA
61751,FALSE,TRUE,FALSE,NA
971122,FALSE,TRUE,FALSE,NA
501141,FALSE,TRUE,FALSE,NA
583064,FALSE,TRUE,FALSE,NA
116549,FALSE,TRUE,FALSE,NA
370781,FALSE,FALSE,FALSE,NA
294868,FALSE,TRUE,FALSE,NA
579666,FALSE,FALSE,FALSE,NA
508533,FALSE,TRUE,FALSE,NA
573940,FALSE,TRUE,FALSE,NA
130011,FALSE,TRUE,FALSE,NA
853141,FALSE,TRUE,FALSE,NA
37525,FALSE,TRUE,FALSE,NA
625448,FALSE,TRUE,FALSE,NA
723047,FALSE,TRUE,FALSE,NA
272462,FALSE,FALSE,FALSE,NA
104488,FALSE,TRUE,FALSE,NA
617395,FALSE,TRUE,FALSE,NA
305083,FALSE,TRUE,FALSE,NA
450677,FALSE,FALSE,FALSE,NA
60378,FALSE,FALSE,FALSE,NA
731621,FALSE,TRUE,FALSE,NA
128101,FALSE,FALSE,FALSE,NA
397065,TRUE,TRUE,FALSE,NA
689273,FALSE,TRUE,FALSE,NA
406152,FALSE,TRUE,FALSE,NA
622538,FALSE,FALSE,FALSE,NA
5874,FALSE,TRUE,FALSE,NA
739959,FALSE,TRUE,FALSE,NA
796209,FALSE,TRUE,FALSE,NA
16756,FALSE,TRUE,TRUE,NA
615426,FALSE,TRUE,FALSE,NA
808671,FALSE,TRUE,FALSE,NA
267207,FALSE,TRUE,FALSE,NA
991480,FALSE,FALSE,FALSE,NA
673465,FALSE,FALSE,FALSE,NA
257420,FALSE,TRUE,FALSE,NA
490786,FALSE,TRUE,FALSE,NA
920162,FALSE,FALSE,FALSE,NA
743445,FALSE,FALSE,FALSE,NA
539421,FALSE,TRUE,FALSE,NA
474340,FALSE,TRUE,FALSE,NA
147046,FALSE,TRUE,FALSE,NA
305114,FALSE,TRUE,FALSE,NA
91955,FALSE,TRUE,FALSE,NA
175103,FALSE,TRUE,FALSE,NA
12748,TRUE,FALSE,FALSE,NA
238134,FALSE,TRUE,FALSE,NA
379600,FALSE,TRUE,FALSE,NA
980609,FALSE,TRUE,FALSE,NA
640890,TRUE,FALSE,FALSE,NA
672972,TRUE,TRUE,FALSE,NA
42886,FALSE,TRUE,FALSE,NA
399116,FALSE,TRUE,FALSE,NA
394122,FALSE,TRUE,FALSE,NA
271050,FALSE,TRUE,FALSE,NA
322731,TRUE,TRUE,FALSE,NA
542828,FALSE,TRUE,FALSE,NA
204971,FALSE,TRUE,FALSE,NA
653636,FALSE,TRUE,FALSE,NA
717671,FALSE,FALSE,FALSE,NA
765303,FALSE,TRUE,FALSE,NA
805501,FALSE,TRUE,FALSE,NA
793898,FALSE,TRUE,TRUE,NA
549140,FALSE,TRUE,FALSE,NA
314843,TRUE,TRUE,FALSE,NA
973321,FALSE,TRUE,FALSE,NA
256110,TRUE,TRUE,FALSE,NA
398805,TRUE,TRUE,FALSE,NA
335569,FALSE,TRUE,FALSE,NA
390484,TRUE,FALSE,FALSE,NA
950854,FALSE,FALSE,FALSE,NA
679616,FALSE,TRUE,FALSE,NA
339369,FALSE,TRUE,TRUE,NA
467702,TRUE,TRUE,FALSE,NA
10907,FALSE,FALSE,FALSE,NA
891240,FALSE,TRUE,FALSE,NA
481836,FALSE,TRUE,FALSE,NA
779070,TRUE,TRUE,FALSE,NA
20200,FALSE,TRUE,TRUE,NA
56341,FALSE,FALSE,FALSE,NA
771926,FALSE,TRUE,FALSE,NA
894259,TRUE,FALSE,FALSE,NA
945290,FALSE,FALSE,FALSE,NA
299900,FALSE,TRUE,FALSE,NA
815901,FALSE,TRUE,FALSE,NA
283432,FALSE,TRUE,FALSE,NA
620530,FALSE,TRUE,FALSE,NA
247382,FALSE,TRUE,FALSE,NA
20235,FALSE,TRUE,FALSE,NA
673197,FALSE,TRUE,FALSE,NA
357129,FALSE,TRUE,FALSE,NA
566686,FALSE,FALSE,FALSE,NA
479701,FALSE,TRUE,FALSE,NA
525199,FALSE,TRUE,FALSE,NA
235316,FALSE,TRUE,FALSE,NA
483400,FALSE,TRUE,FALSE,NA
515981,TRUE,TRUE,FALSE,NA
335855,FALSE,TRUE,FALSE,NA
243843,FALSE,TRUE,TRUE,NA
448196,FALSE,TRUE,FALSE,NA
993707,TRUE,TRUE,FALSE,NA
672668,FALSE,TRUE,FALSE,NA
762917,FALSE,TRUE,FALSE,NA
252885,FALSE,TRUE,FALSE,NA
385507,FALSE,FALSE,FALSE,NA
525418,FALSE,TRUE,FALSE,NA
55274,FALSE,TRUE,FALSE,NA
620356,FALSE,TRUE,FALSE,NA
